Mr,L,P,R,T,rho,epsilon,kappa,del_ad,del_nabla,Shell
1.8282727272727273e+33,1.1997256660010806e+34,3972763095115322.0,34219663487.683735,6021191.814287661,4.924592846571911,0.016736847610755327,9977000638.22526,0.39900464140036185,0.02520559860478702,Rad
1.8284119711971196e+33,1.1997258933979428e+34,3971789361624894.0,34221571301.638298,6020605.840012379,4.9238655935746705,0.016725371935951774,9977000638.225424,0.39900478414418866,0.025207317487613495,Rad
1.828551215121512e+33,1.1997261206291253e+34,3970815778266619.0,34223479176.965096,6020019.870137375,4.9231383812154474,0.01671390277377103,9977000638.225832,0.39900492688019484,0.025209036949818717,Rad
1.8286904590459045e+33,1.1997263476947264e+34,3969842345000181.0,34225387113.718464,6019433.90463545,4.922411209480088,0.016702440120848223,9977000638.22575,0.3990050696083904,0.02521075699180716,Rad
1.828829702970297e+33,1.1997265745948436e+34,3968869061785288.0,34227295111.95276,6018847.943479411,4.921684078354449,0.016690983973820402,9977000638.22571,0.39900521232878544,0.025212477613983493,Rad
1.8289689468946892e+33,1.1997268013295753e+34,3967895928581666.0,34229203171.722313,6018261.986642079,4.920956987824376,0.01667953432932685,9977000638.225382,0.39900535504139045,0.025214198816752412,Rad
1.8291081908190818e+33,1.1997270278990194e+34,3966922945349052.0,34231111293.08152,6017676.034096282,4.920229937875707,0.01666809118400887,9977000638.22526,0.3990054977462154,0.02521592060051867,Rad
1.8292474347434744e+33,1.1997272543032736e+34,3965950112047206.0,34233019476.084732,6017090.085814856,4.919502928494279,0.016656654534509784,9977000638.22522,0.39900564044327025,0.02521764296568715,Rad
1.8293866786678667e+33,1.1997274805424361e+34,3964977428635913.0,34234927720.78632,6016504.141770659,4.918775959665925,0.016645224377475235,9977000638.225668,0.3990057831325652,0.025219365912662727,Rad
1.829525922592259e+33,1.1997277066166047e+34,3964004895074969.0,34236836027.240677,6015918.201936545,4.918049031376475,0.01663380070955272,9977000638.225424,0.39900592581411043,0.02522108944185047,Rad
1.8296651665166516e+33,1.199727932525877e+34,3963032511324187.0,34238744395.502197,6015332.266285387,4.917322143611749,0.016622383527391746,9977000638.225872,0.39900606848791587,0.025222813553655406,Rad
1.829804410441044e+33,1.199728158270351e+34,3962060277343408.0,34240652825.625267,6014746.334790068,4.916595296357569,0.01661097282764415,9977000638.225586,0.3990062111539917,0.02522453824848271,Rad
1.8299436543654363e+33,1.1997283838501246e+34,3961088193092481.0,34242561317.6643,6014160.407423478,4.915868489599746,0.01659956860696369,9977000638.225342,0.39900635381234806,0.025226263526737576,Rad
1.830082898289829e+33,1.1997286092652953e+34,3960116258531280.0,34244469871.673706,6013574.484158518,4.915141723324095,0.01658817086200617,9977000638.22575,0.39900649646299496,0.025227989388825346,Rad
1.8302221422142215e+33,1.1997288345159609e+34,3959144473619696.0,34246378487.707905,6012988.564968104,4.9144149975164195,0.016576779589429637,9977000638.22579,0.3990066391059427,0.02522971583515136,Rad
1.8303613861386138e+33,1.199729059602219e+34,3958172838317642.0,34248287165.82132,6012402.649825156,4.913688312162528,0.016565394785893972,9977000638.225302,0.3990067817412008,0.025231442866121122,Rad
1.8305006300630064e+33,1.199729284524167e+34,3957201352585041.0,34250195906.068386,6011816.738702608,4.912961667248209,0.01655401644806131,9977000638.225342,0.39900692436877966,0.02523317048214011,Rad
1.8306398739873988e+33,1.1997295092819029e+34,3956230016381846.0,34252104708.503544,6011230.831573406,4.912235062759264,0.016542644572595726,9977000638.22526,0.3990070669886894,0.025234898683613956,Rad
1.830779117911791e+33,1.199729733875524e+34,3955258829668019.0,34254013573.18124,6010644.928410501,4.9115084986814805,0.016531279156163464,9977000638.225506,0.3990072096009399,0.02523662747094835,Rad
